953,316,8496,9150,1791,2551,4763,2978,4676,3985,6516,7386,8712,7106,1590,7083,6649,8479,6422,9351,1719,7835,6727,1482,9999,6606,7978,8368,1004,1736,9835,9730,9935,7017,3729,675,8680,1451,1397,5474,8743,1013,9585,7543,2597,8227,8878,7914,7007,6286,7125,3633,8182,3234,708,4938,1857,7943,7966,57,7123,8449,7990,986,5935,4356,586,1701,1363,4426,988,4734,3240,3424,7456,1050,9164,6518,8179,8849,5240,3174,66,4674,3717,9630,701,2822,8983,8117,4041,6161,149,891,5411,4239,4268,3668,9999,1699;
3417,9717,659,3150,9039,9347,8408,2684,3160,3020,3138,8089,4714,1369,166,6553,6,449,4343,5992,8425,4137,1062,2303,5228,696,8538,5683,5880,8376,9635,2715,6278,8244,4918,4684,3931,4802,4057,9507,9448,7541,2200,488,7720,8175,542,6284,502,4690,2401,5263,1616,9955,9900,2473,4350,3099,8765,7312,3184,9429,2246,5777,1169,9510,9081,4516,2886,3539,3211,5838,3800,6133,8359,6833,6425,759,8558,4348,7378,9034,9744,475,800,480,7874,1048,2669,3755,2482,3891,1774,1843,7749,3152,6744,6593,5086,8882;
3598,1346,2440,8211,1310,1239,7416,4669,2322,8609,1444,2071,2191,2902,5310,9369,9866,3045,6535,1717,6702,3175,3427,1053,1217,3808,9000,6608,1082,1121,2668,8716,8555,741,5536,8842,3034,2573,6535,4765,7344,3827,7867,3173,3047,5457,803,868,9265,8630,2910,2241,887,1936,1832,8538,1247,2279,6764,7659,9013,5647,7634,7423,4070,2651,5977,5826,3563,8408,3843,5154,6876,9212,4573,9700,4391,1282,9242,5031,1711,2706,7450,1867,3224,1843,7451,6803,8815,3983,6968,3516,9730,1812,6402,3270,1482,8015,6988,415;
830,5734,711,7218,260,5548,341,967,4975,8222,4952,6485,2113,8236,4151,7664,3897,7069,8946,2308,4464,6494,6737,1593,1944,3509,5964,3042,1207,2565,1830,6794,1881,4758,1591,7105,3869,1916,4874,6016,8882,9210,694,3461,6699,5677,1946,9765,5586,2352,7086,6295,2896,4867,9248,1732,9261,9859,250,6891,3384,8494,1047,7661,3431,9238,4578,8471,2011,108,9652,3221,5322,4594,4757,8664,1675,402,5519,16,8244,9589,76,3959,2322,6652,3526,5375,8439,412,3965,52,4190,9123,3611,7766,8176,5527,2962,6157;
7267,431,3429,929,7258,9474,9277,2736,2306,3705,9481,1873,4832,2381,3631,2857,4546,7111,2733,7532,4729,6520,7225,6362,2443,1704,1920,1102,3350,3386,5389,7605,4775,5217,4585,9371,1325,70,7479,8976,5052,1611,4761,5396,6776,2025,5842,2635,8323,5964,5291,9694,9234,8426,468,1000,6876,9259,4373,5119,8422,8362,5143,696,1201,1070,4919,5996,5606,571,7421,8706,594,3041,7561,4427,316,5968,8389,8981,2764,6957,4997,5364,2260,5888,3191,1962,3035,455,1565,8405,3658,4806,3859,6193,5060,1777,8249,515;
3496,9785,2792,3016,7538,9519,5633,2058,6741,8156,104,8884,9309,7572,1940,9134,6554,1830,2933,6486,2845,3170,8633,9397,144,5220,9724,1845,183,3803,1048,8515,7733,1329,6004,1014,8926,1454,6218,3740,3967,1992,9283,4039,1180,805,8000,6210,1015,6293,3447,3509,2824,8715,4034,1700,3366,1859,3298,2047,2672,8252,4727,2610,2928,5039,2116,4559,6469,714,3678,6357,7587,3163,8718,9948,3161,5357,2753,5051,4132,7388,895,6179,1069,2525,2550,8531,103,1265,5900,4579,4732,6135,8009,6112,5129,4583,8457,4819;
1411,1415,8229,5615,6769,1202,4334,3725,3170,9852,165,3101,9364,4083,7404,823,7359,4139,1492,6212,920,9401,281,3831,9832,5146,7023,5007,1101,6945,590,4949,4280,1367,8546,421,1036,1665,2973,8197,8725,3544,5927,6867,9846,5537,8763,1433,5748,8251,395,3816,187,9539,7501,8298,17,7445,7271,2597,3197,6076,7294,3463,139,3517,9329,6345,5755,897,80,5107,4483,247,9552,7468,4734,9184,7793,3170,2781,4577,5982,1284,6799,6600,7966,3578,1780,961,5570,2967,4932,6182,6632,6553,3617,3287,5714,7574;
1551,3566,3302,91,5264,1331,9698,8871,3031,7430,7925,4008,317,4391,2632,5181,8695,3291,2599,4764,7206,5615,7428,1870,9883,4481,4271,4531,5381,7210,3018,5119,9217,1652,1806,6314,6515,8602,2612,818,6947,5090,9296,5504,4770,7771,6989,3119,707,15,7602,4384,6779,8583,1399,4951,603,1511,4687,6498,4122,5227,7788,9849,1106,1398,549,6171,7197,2978,8659,1235,648,9773,2947,7312,6748,2937,7983,3626,126,5011,6480,2872,42,2578,7493,3474,6272,1584,9427,7096,4010,2519,9703,8192,6850,3579,312,3853;
4629,1179,7106,5773,9513,4249,1091,6285,1182,633,7784,8030,526,5523,9311,7519,7549,2814,1456,6346,1241,8211,9060,9056,3898,8562,3887,4319,5134,9821,8256,9406,9498,5597,498,4241,2643,9614,2680,1869,4191,117,148,456,2767,3886,2134,3449,7518,4235,7579,1991,1556,1179,7233,9781,5205,9282,4956,3329,9863,7570,4194,3943,2720,654,5321,1825,2415,6147,4386,6429,2287,451,2978,2387,6859,4543,2843,2949,499,8324,9869,4443,8021,9144,790,7230,3135,3174,25,5731,7007,2129,6797,9463,9591,8709,4905,6549;
2419,8347,455,363,898,5401,9928,9370,7936,9231,8804,1641,9126,2344,8107,8290,2342,4033,2973,5522,6573,9720,5870,9456,8255,6420,6946,1058,3818,1733,1802,7732,497,5968,2294,8228,3539,8726,1985,6400,6524,9257,2888,8039,5315,4331,9435,8656,6153,1009,3787,1597,964,9759,7013,2447,1805,494,6414,1583,7174,464,6547,586,9089,6121,3475,4341,2027,4456,7794,839,6441,8438,1411,4574,9499,4690,8430,7395,3270,2481,8909,6626,3226,8557,5057,1747,2871,1622,4538,6736,2868,880,4600,5302,401,5125,7718,8244;
