6139,4931,644,9885,5130,3345,9239,1327,4121,1353,3668,9407,9072,2967,9445,4984,9493,5560,2481,7466,6507,7705,8448,1392,9133;
1378,168,2706,2371,2369,8238,5791,4697,6623,9255,4431,9416,3173,8553,3616,245,9765,6450,6535,8134,7736,786,3348,6100,7699;
7042,4867,1532,9906,5901,3486,9500,9043,9203,2943,8686,129,8073,4128,8892,1282,9075,6224,6357,4482,7408,4531,369,2587,4797;
5578,3285,3593,9839,917,2605,4598,7973,6156,3249,8897,8301,7731,1414,232,9664,7964,1335,1648,4938,9823,1918,5505,5456,4100;
9152,8395,1651,3167,4601,2210,5603,7290,5468,4481,4970,3982,4181,1215,9660,5397,1161,7279,2652,9945,4272,7924,4753,8026,1847;
5467,60,1162,7169,551,6248,2784,4772,3381,8381,6292,1515,1850,2390,1145,5621,4123,6231,4163,8893,121,2886,6417,2346,8414;
9029,925,5344,5262,6236,7547,1421,9699,9382,8378,750,4745,7722,7204,1875,4696,4294,4919,2707,7821,3645,6392,4336,5954,2322;
636,7307,9841,5218,9949,6657,7702,5524,4146,7251,5668,9098,6972,8645,1624,4778,7550,5300,3421,345,5455,7869,6898,2764,6934;
1050,7096,1582,7768,7413,505,7409,5089,8573,5508,3514,5155,1883,4350,849,8078,2401,5812,842,3413,5196,1227,115,4761,2121;
4345,8784,4055,2982,1164,1887,5601,2516,7479,4130,2317,3193,2786,78,7246,4966,65,9458,7783,1273,6134,4124,8311,1968,5412;
1140,8091,5404,4112,4164,3004,9399,4349,5285,1004,4620,196,8073,2418,2741,4531,3996,4440,867,218,5016,2070,2051,1243,214;
1413,2248,9946,9269,666,2751,8502,5883,1447,758,2118,2786,8877,5559,9224,9379,3119,1931,1290,5163,3344,3842,2736,1956,9799;
3605,4410,1245,8067,8821,7943,8084,7243,9533,7386,4812,6835,5577,3809,2534,1039,6874,8429,5278,540,2173,8925,4457,8064,7668;
3680,8679,8988,6419,3177,6623,5840,5053,5146,1435,9451,6363,831,8765,528,5541,2863,7149,992,1841,5194,9884,6659,8881,1764;
55,848,6854,753,5411,9614,8725,8532,954,6931,5332,2213,7126,2801,6376,5024,8445,65,6595,2501,4095,4119,6823,9917,7630;
1510,698,9587,1808,8527,5753,4188,2011,3161,9645,6450,4280,4775,9211,4488,3959,2629,667,6277,5634,9916,2249,8932,7941,3717;
734,7348,8842,6281,5355,8588,9884,5953,8604,5411,5504,6274,213,3169,5672,6590,9418,4938,5998,4542,8668,3239,7838,2272,6004;
6834,5981,2144,9375,9182,8664,817,8504,2414,2261,2461,3058,76,2989,1818,803,53,5789,834,8639,9681,7710,5778,8824,2090;
8632,939,7128,2391,7292,2600,6623,9552,667,14,749,3137,9979,1567,3655,3784,5188,329,2406,6946,6473,5543,5799,5923,4568;
1381,1635,5878,7277,5019,978,6379,4352,8620,4228,8720,2764,4878,2581,2092,5212,2881,3949,6690,5558,8447,6652,2917,4163,7941;
8113,3285,3892,8759,4109,7719,5558,5628,8078,6795,8265,8250,3601,7407,6331,6120,7271,255,8396,3071,5335,8896,1394,1836,3456;
7044,2292,9445,3051,7029,2503,3738,6796,8711,5898,5900,1543,1065,8716,3839,428,4120,6563,4941,3909,464,8837,6582,6294,7946;
7320,6782,7656,150,6749,8075,4619,3768,1383,1649,1147,2156,5319,7129,5481,707,7445,6406,3592,5386,3960,2566,5080,6149,7411;
661,1849,4341,2665,193,8804,2633,4671,1751,9296,5257,3858,8497,6394,3690,2828,1804,200,7111,2845,4033,2475,5771,1971,4859;
7477,6234,7795,5398,7782,2204,8069,4109,6485,5660,7940,4293,7421,2669,5091,5577,4179,7985,7086,3444,7343,3142,2231,3002,926;
3684,4697,9882,4781,3882,3532,2623,490,820,4079,2805,5120,9239,666,7874,6660,8227,9901,6653,2,2125,709,1350,169,7429;
8156,9444,7638,7299,8143,4824,370,5332,8083,2974,2885,836,2035,216,45,1093,5460,2979,5816,2251,3594,7428,9604,1427,5924;
1534,1179,5976,778,309,60,7595,7190,5490,8102,3840,650,3721,3056,1908,6745,2515,1047,759,3407,276,6736,5043,960,2863;
3815,1658,5285,5903,9406,4629,1564,4436,5550,9078,1972,4979,8426,5591,2979,2175,1638,1446,5662,7019,7437,2364,4135,3890,3275;
3956,2751,492,625,9118,4809,6505,1658,4060,8187,1343,6046,9467,2130,7468,4687,7514,3303,4016,3736,5470,5886,2996,2537,9345;
7085,4764,2137,2243,3458,4928,8258,6039,2941,7750,2058,9035,971,1207,3464,9004,5835,4624,849,5906,9077,8968,7527,61,3868;
7879,3448,8265,5309,8569,9188,8380,1776,3740,2643,6080,5298,4236,3395,5533,218,3190,847,7417,6080,7736,3478,6181,1938,1862;
1391,5635,1387,8039,1064,6369,591,3832,8099,1057,7374,6733,9497,1479,2194,5721,5811,9962,6597,3245,8404,9322,765,7146,3136;
926,6565,8282,1888,4114,6236,8990,1400,2525,4227,165,4582,9468,1950,8833,8420,2421,8316,3380,5284,6828,1505,8156,6943,6045;
7365,4707,9970,8913,2655,8962,2991,3192,737,3328,4352,2764,2661,395,235,5516,9358,5012,6178,4118,1403,5519,3924,2824,9339;
9078,4954,3271,4969,6565,2391,2848,4553,2923,6945,7784,1302,9596,9075,788,9800,243,1553,8216,6017,6262,2370,8721,3821,3556;
3875,2291,8686,9632,1489,5522,2047,5834,8737,5215,5455,4225,3837,8841,2754,7373,2633,4550,2980,3116,4937,1860,1386,7332,4379;
4525,4245,2240,5787,5806,7454,1636,3030,3642,2075,3582,9212,9399,9768,4747,479,978,359,1386,2023,8369,2324,1248,3394,5359;
5888,315,6245,169,736,298,4653,209,6939,7281,3386,828,1944,9788,6599,4909,4685,5970,8631,1658,3655,6248,9646,4597,4808;
