4219,2902,7108,500,1901;
2563,2205,8028,9435,7617;
1569,7463,5066,3912,7793;
8046,401,4113,4482,4088;
1310,2716,8653,9233,6629;
3223,5420,8034,4495,2861;
5194,4234,6225,6898,8974;
8281,2553,3646,8110,246;
4694,982,4255,4605,5858;
1831,2347,4488,2996,1919;
743,9563,5665,4221,281;
4771,5142,6660,4890,1029;
6662,6534,1685,1039,4338;
1842,2850,8992,6536,6691;
6317,2965,8929,5006,8735;
8404,937,8103,2906,2909;
2492,2596,1285,8152,7229;
3898,5716,9300,250,9308;
9100,3102,1491,5617,5015;
9018,869,9743,7304,2852;
518,1292,7754,902,992;
3356,8730,4777,3925,6817;
5610,3362,7143,7648,4645;
8691,8091,771,9977,8484;
1718,1646,8356,9236,9194;
899,1363,2488,3702,7998;
4655,1458,6603,8793,4350;
9801,8643,4155,8763,2038;
5962,2887,7726,4585,82;
1531,3758,8871,8356,7518;
3942,3964,7872,9645,4665;
6781,7127,297,8164,2445;
3779,4396,9081,2740,3661;
3807,8348,405,9087,7065;
818,5641,8521,1548,1600;
6309,5929,6550,9956,5475;
4435,1809,8775,3191,1668;
5419,7512,4931,7309,4413;
297,37,9793,9467,8512;
4313,6908,8458,4076,2094;
7321,4665,3593,6220,6418;
1295,8241,2716,587,5579;
9961,3181,3938,7549,3983;
5770,602,1585,999,6800;
5693,5980,6197,116,1179;
9352,8245,1231,3622,4979;
8350,2364,8872,3323,271;
1234,7787,9537,6747,4212;
5590,7786,3865,2291,936;
5116,919,4329,7161,4873;
9107,6838,303,5943,2775;
215,466,6705,4546,3380;
9585,3175,2417,1939,6576;
7093,6456,5882,4110,874;
5149,2493,9607,4091,2855;
2620,3122,8553,981,1356;
4529,4180,9026,5352,4654;
8982,2082,2475,6620,6972;
2041,1384,8770,2197,2122;
9277,4324,7279,7093,6664;
4137,47,8481,3079,344;
2054,5811,4,8590,8530;
5713,5376,9122,7236,2240;
7518,2966,2244,6166,3509;
8281,1545,1741,7337,3753;
6049,4571,1931,7729,6831;
2945,8338,8604,5429,1992;
5780,8126,7405,8403,849;
471,83,7762,5715,6958;
1541,1129,5910,4889,2966;
288,5801,8682,2587,4857;
1759,9924,5950,1321,9688;
9295,7085,8303,368,3764;
9606,750,1077,5170,6711;
5753,1546,8029,881,9372;
8671,1638,8952,8693,7418;
2326,9334,2409,5222,6729;
7235,3689,5976,2993,4953;
4140,2012,2140,9525,9511;
1028,5267,5582,9622,2319;
4069,8487,9878,851,7555;
4755,21,488,7479,7176;
9077,8533,4091,3599,8646;
2923,2521,263,7077,5601;
5373,5159,9289,8977,7505;
2805,9363,6925,3749,9186;
205,1001,3623,8545,427;
6425,1604,5933,8884,465;
66,7614,2672,7092,6044;
3187,5834,640,484,3475;
4480,4010,9482,5515,8414;
9044,1858,9180,5840,5077;
2764,6725,7211,4238,3740;
6205,8985,2193,5295,4306;
2690,7192,2903,208,379;
1622,4011,8891,3657,8293;
5752,5651,9820,6747,6002;
8750,6555,6807,4909,5066;
4632,5475,4733,9384,5698;
1949,2272,1439,109,5094;
5634,7793,7390,2724,4201;
7836,5776,7477,1962,2715;
6190,2476,5527,5597,1680;
5396,726,4607,9356,332;
615,3028,6461,8086,3240;
4831,8649,218,8953,7142;
1535,953,1202,1438,4717;
454,2917,270,1761,1776;
4114,7550,8885,2136,4242;
9533,8455,558,5410,4518;
5695,7388,5822,7363,772;
7684,3443,2152,4206,6484;
1112,6918,5603,6738,7068;
6564,1252,5531,4142,950;
2690,4343,2725,9063,2005;
8965,5132,2179,8795,1736;
7895,3424,7917,950,2173;
8147,9816,1198,6982,3078;
1734,8670,3495,2873,3390;
3558,5710,8470,557,515;
4220,9917,9573,3719,1414;
492,8618,1539,4919,7323;
5496,6654,995,7613,348;
9432,8307,1290,4024,3241;
9975,6780,530,9319,455;
5934,7251,3419,8901,3722;
9191,9144,3163,7645,5564;
5784,7537,4592,4443,419;
4064,5064,3258,2783,8108;
8127,7289,5545,219,220;
1960,787,739,6833,6355;
7275,5507,8534,4720,3151;
8887,3250,9231,4514,5478;
4512,8280,5346,8990,918;
6116,7426,7543,3443,4850;
9945,3678,8768,1897,4686;
4585,9106,4964,9296,7681;
4406,6176,543,8573,9937;
3208,1501,8434,8067,3337;
9216,4185,5998,5812,47;
211,250,6393,3322,5720;
6872,1564,9516,2914,2298;
8486,2661,9141,9958,6566;
95,7425,7835,8465,9189;
1466,7876,2192,8611,7513;
5391,1815,9626,5761,4499;
2668,5785,1831,6431,8276;
6217,2417,9187,1385,1597;
8086,6634,4059,2858,7709;
7729,7175,6407,5356,5492;
8248,2217,264,1760,41;
16,880,2553,9764,7666;
8308,4223,7439,9075,1862;
8994,8127,9593,1144,9217;
1400,7638,9451,9110,4585;
9673,2167,7555,5287,245;
5459,3420,8974,8000,1756;
6845,6741,7976,7033,2531;
713,405,7952,8076,8184;
7005,5249,9893,3052,2494;
9101,7984,7145,6874,8700;
8203,7953,1962,4367,5365;
7966,2863,2950,6101,8300;
9448,8118,6431,3397,9487;
8887,5698,8669,5248,5311;
2179,2537,306,2511,9534;
1172,1014,4420,8394,1743;
3200,1200,3725,5943,9892;
6899,1029,2508,4745,8780;
6757,1875,8308,5070,2140;
2273,7339,6526,4011,4069;
7450,6961,8415,8881,4400;
902,670,5171,9182,1669;
6080,6464,6486,3699,1957;
753,84,3403,6209,9394;
2036,8210,5016,5551,1040;
48,4451,8517,9282,7025;
2490,1696,913,4685,2440;
9046,4162,8954,3719,5570;
4171,9781,2999,2669,7447;
9324,3121,6233,1650,1344;
6590,5238,723,8715,1028;
6950,710,5834,4285,1487;
4828,5325,3847,4621,8826;
8984,6009,7399,516,2761;
1020,5772,3166,6760,2559;
7908,1681,6333,4992,3153;
8720,2505,63,9492,509;
2954,9580,2605,4369,3008;
100,2297,7071,1733,103;
4079,8190,6176,6124,3667;
805,7740,6582,91,4871;
9386,9269,5755,958,6517;
6913,5555,5733,9861,8346;
9562,4570,1985,7175,6293;
1226,6732,2942,2503,1769;
6615,7877,1286,8555,5288;
7818,5156,6780,5658,2717;
12,4751,1430,1024,4492;
8499,9721,5878,5109,4144;
695,5212,8854,2955,8570;
988,8530,9828,2768,5977;
5504,6212,8781,1706,3374;
4671,1839,803,6882,2790;
336,2070,5723,5965,2307;
3842,3884,532,6532,2100;
5211,7763,5348,6949,789;
167,1317,4764,863,2148;
2295,5039,8048,9828,3707;
2344,4664,7399,7872,7100;
3434,668,9675,9006,7536;
8220,3428,2923,9500,2988;
8866,2286,2972,4906,1132;
9148,9531,8927,1997,5140;
446,3131,5765,6851,5271;
8180,9668,8176,7441,7370;
914,8489,7810,4458,4125;
8033,5279,4833,6961,990;
178,985,3604,634,7288;
7961,3416,5571,4597,1771;
6687,7995,2067,6371,7192;
8899,3269,2814,6393,4234;
4788,8832,2189,3860,4457;
8065,8683,3588,4435,7003;
3143,3582,4560,4222,1397;
8755,3304,6779,4270,1871;
